CONCISE NET LIST - 1  
DATA_OUT_P<5>            J9               71       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<6>            J8               63       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<6>            J9               76       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<7>            J8               64       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<7>            J9               79       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<8>            J8               71       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<8>            J9               84       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<9>            J8               75       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<9>            J9               87       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<10>           J8               85       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<10>           J9               92       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<11>           J8               95       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<11>           J9               95       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DC_DC_ENABLE             POWER1           1        PTH08T210WAD    
DC_DC_ENABLE             PWR1             1        PTH08T210WAD    
DC_DC_ENABLE             T1               3        TRANS MOSFET_GSD-PJE8408,SOT523
DC_REF_CLK_N<0>          C189             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<0>          IC3              29       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<0>          R169             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<1>          C191             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<1>          IC3              27       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<1>          R173             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<2>          C193             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<2>          IC3              23       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<2>          R177             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<3>          C195             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<3>          IC3              21       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<3>          R181             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<4>          C197             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<4>          IC3              19       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<4>          R185             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<5>          C199             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<5>          IC3              17       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<5>          R189             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<6>          C176             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<6>          IC4              29       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<6>          R170             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<7>          C178             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<7>          IC4              27       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<7>          R174             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<8>          C180             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<8>          IC4              23       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<8>          R178             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<9>          C182             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<9>          IC4              21       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<9>          R182             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<10>         C184             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<10>         IC4              19       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<10>         R186             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_N<11>         C186             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_N<11>         IC4              17       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_N<11>         R190             2        RSMD0402_1/16W-200,1%
